id,title,artist,genre,danceability,energy,valence,acousticness,tempo
1,Comedy,Gen Hoshino,acoustic,0.676,0.461,0.715,0.0322,87.917
2,Ghost - Acoustic,Ben Woodward,acoustic,0.42,0.166,0.267,0.924,77.489
3,To Begin Again,Ingrid Michaelson;ZAYN,acoustic,0.438,0.359,0.12,0.21,76.332
4,Can't Help Falling In Love,Kina Grannis,acoustic,0.266,0.0596,0.143,0.905,181.74
5,Hold On,Chord Overstreet,acoustic,0.618,0.443,0.167,0.469,119.949
6,Days I Will Remember,Tyrone Wells,acoustic,0.688,0.481,0.666,0.289,98.017
7,Say Something,A Great Big World;Christina Aguilera,acoustic,0.407,0.147,0.0765,0.857,141.284
8,I'm Yours,Jason Mraz,acoustic,0.703,0.444,0.712,0.559,150.96
9,Lucky,Jason Mraz;Colbie Caillat,acoustic,0.625,0.414,0.669,0.294,130.088
10,Hunger,Ross Copperman,acoustic,0.442,0.632,0.196,0.426,78.899
11,Give Me Your Forever,Zack Tabudlo,acoustic,0.627,0.363,0.301,0.279,99.905
12,I Won't Give Up,Jason Mraz,acoustic,0.483,0.303,0.139,0.694,133.406
13,Solo,Dan Berk,acoustic,0.489,0.314,0.607,0.749,124.234
14,Bad Liar,Anna Hamilton,acoustic,0.691,0.234,0.209,0.777,87.103
15,Hold On - Remix,Chord Overstreet;Deepend,acoustic,0.755,0.78,0.387,0.124,120.004
16,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,0.489,0.561,0.238,0.2,83.457
17,ily (i love you baby),Andrew Foy;Renee Foy,acoustic,0.706,0.112,0.414,0.827,110.154
18,At My Worst,Andrew Foy;Renee Foy,acoustic,0.795,0.0841,0.609,0.742,91.803
19,Photograph,Boyce Avenue;Bea Miller,acoustic,0.717,0.32,0.322,0.83,107.946
20,Demons,Boyce Avenue;Jennel Garcia,acoustic,0.678,0.351,0.569,0.747,90.032
21,93 Million Miles,Jason Mraz,acoustic,0.572,0.454,0.515,0.477,140.182
22,Unlonely,Jason Mraz,acoustic,0.796,0.667,0.754,0.381,97.988
23,Bella Luna,Jason Mraz,acoustic,0.755,0.454,0.33,0.757,120.06
24,Winter Wonderland,Jason Mraz,acoustic,0.62,0.309,0.664,0.788,145.363
25,If It Kills Me,Jason Mraz,acoustic,0.633,0.429,0.52,0.0444,143.793
26,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,0.593,0.455,0.564,0.366,202.019
27,Party of One,Brandi Carlile;Sam Smith,acoustic,0.296,0.206,0.202,0.782,165.4
28,Lonely This Christmas,KT Tunstall,acoustic,0.409,0.153,0.18,0.939,85.262
29,Throwing Good After Bad,Brandi Carlile,acoustic,0.501,0.0952,0.316,0.963,138.016
30,This Time Tomorrow,Brandi Carlile,acoustic,0.606,0.326,0.414,0.841,91.626
31,The Haves,Eddie Vedder,acoustic,0.474,0.519,0.326,0.281,151.832
32,When You're Wrong,Brandi Carlile,acoustic,0.568,0.301,0.142,0.796,88.029
33,You and Me on the Rock,Brandi Carlile;Lucius,acoustic,0.568,0.686,0.725,0.15,172.075
34,"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,acoustic,0.476,0.666,0.498,0.314,148.155
35,Trampoline - Acoustic,Highland Peak,acoustic,0.596,0.2,0.308,0.91,107.893
36,透明だった世界,Motohiro Hata,acoustic,0.373,0.914,0.56,0.076,168.21
37,Pieces,Andrew Belle,acoustic,0.494,0.652,0.298,0.0754,137.018
38,A Drop in the Ocean,Ron Pope,acoustic,0.447,0.393,0.564,0.785,73.139
39,So Far Away - Acoustic,Adam Christopher,acoustic,0.576,0.331,0.407,0.894,149.02
40,The Enemy,Andrew Belle,acoustic,0.536,0.89,0.273,0.078,121.974
41,Build It Better,Aron Wright,acoustic,0.526,0.333,0.159,0.91,94.951
42,Sleepwalking in the Rain,Chord Overstreet,acoustic,0.501,0.381,0.502,0.687,80.075
43,Gravity,Sara Bareilles,acoustic,0.27,0.275,0.231,0.834,168.964
44,What's Left of You,Chord Overstreet,acoustic,0.731,0.507,0.265,0.572,117.969
45,Pano,Zack Tabudlo,acoustic,0.375,0.457,0.415,0.868,174.839
46,Sky's Still Blue,Andrew Belle,acoustic,0.43,0.791,0.217,0.0726,171.864
47,And I Love Her,Kurt Cobain,acoustic,0.616,0.282,0.435,0.983,96.638
48,We Can't Stop,Boyce Avenue;Bea Miller,acoustic,0.705,0.347,0.36,0.674,80.057
49,Always Be My Baby,Tim Halperin,acoustic,0.582,0.255,0.285,0.772,139.884
50,Alone with You,Canyon City,acoustic,0.549,0.274,0.207,0.798,86.664
51,Making All Things New,Aaron Espe,acoustic,0.787,0.355,0.48,0.896,99.978
52,She Used To Be Mine,Sara Bareilles,acoustic,0.397,0.303,0.172,0.381,81.05
53,In My Veins - Feat. Erin Mccarley,Andrew Belle,acoustic,0.548,0.42,0.196,0.198,128.012
54,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,0.787,0.403,0.264,0.603,118.042
55,A Drop In the Ocean,Ron Pope,acoustic,0.484,0.573,0.346,0.0882,139.966
56,Superman (It's Not Easy),Five For Fighting,acoustic,0.382,0.416,0.125,0.0733,102.089
57,When the End Comes,Andrew Belle,acoustic,0.541,0.575,0.428,0.677,91.98
58,You're Still The One,Bailey Jehl,acoustic,0.607,0.473,0.54,0.712,119.698
59,Light Me Up,Ingrid Michaelson,acoustic,0.417,0.595,0.117,0.158,147.928
60,Kaleidoscope,A Great Big World,acoustic,0.709,0.913,0.519,0.0182,108.024
61,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic,0.537,0.342,0.253,0.645,109.236
62,What Would I Do Without You,Drew Holcomb & The Neighbors,acoustic,0.602,0.336,0.335,0.883,90.894
63,Have It All,Jason Mraz,acoustic,0.643,0.638,0.6,0.204,82.001
64,Heavy Heart,Gabrielle Aplin,acoustic,0.451,0.7,0.37,0.455,150.055
65,The House We Never Built,Gabrielle Aplin,acoustic,0.546,0.391,0.202,0.784,139.669
